timestamp,diario,tag,Largo
03/02/2020 01:19:01 p. m.,"Me siento ansiosa y sin ganas de trabajar, también me siento sola",Negativo,65
03/02/2020 04:41:29 p. m.,Cansada pero contenta,Ambivalente,21
03/02/2020 08:58:45 a. m.,Cansancio,Negativo,9
03/02/2020 09:00:45 a. m.,Me siento un poco intranquilo pero estoy seguro solo será un mal momento y no un mal día.,Negativo,89
03/02/2020 09:15:27 a. m.,"Me siento estresada por que me gusta que mi trabajado salga en tiempo y forma, pero sobre todo salga BIEN!",Negativo,106
03/02/2020 09:37:07 a. m.,Muchas gracias por compartir tus sentimientos conmigo. Eso es todo por hoy.|Hasta luego 👋,JENNY,90
03/02/2020 10:00:54 a. m.,Estoy tranquilo,Positivo,15
03/03/2020 11:25:59 a. m.,Todo bien.,Positivo,10
03/03/2020 11:42:38 a. m.,Muchas gracias por compartir tus sentimientos conmigo. Eso es todo por hoy.|Hasta luego 👋,JENNY,90
03/04/2020 08:09:54 p. m.,"Me siento preocupada, ya que soy la Madre de dos Adolescentes que dependen totalmente de mi, y me he sentido con algunos síntomas de enfermedad.",Negativo,144
03/04/2020 10:01:49 a. m.,Bien 😃,Positivo,7
03/04/2020 10:27:45 a. m.,Pues me siento encerrada deprimida. No le encuentro sentido a la vida,Negativo,69
03/06/2020 04:19:46 p. m.,Tranquilo,Positivo,9
03/06/2020 05:45:44 p. m.,"Me siento bien, estoy en una etapa de mi vida complicada pero estoy trabajando en ello tranquilamente",Ambivalente,101
03/06/2020 05:45:44 p. m.,"Me siento tranquilo, optimista aunque consciente de que debo resolver algo trascendente en mi vida personal.",Ambivalente,108
03/06/2020 10:02:16 p. m.,Ansiosa y preocupada por lo laboral y económico. Cansada pues llevo varias noches sin dormir.,Negativo,93
03/06/2020 10:06:03 a. m.,"Me siento impotente y algo triste, quiero hacer muchas cosas pero no se por donde empezar. Por ejemplo, quiero conseguir un mejor trabajo, quiero dedicarle el tiempo necesaria a la universidad y me gustaría vivir en un lugar más bonito. No me gusta el departamento que estoy rentando ahorita, es viejo, todo se rompe, todo es chiquito y no hay espacio para nada. Igual me siento algo triste con mi cuerpo, no he cumplido la dieta y por la contingencia del COVID no he hecho ejercicio, he notado que últimamente he tenido picos emocionales, a veces buenos a veces no tanto pero no he sido muy estable.",Negativo,600
03/06/2020 10:33:52 a. m.,Hoy me siento ms seguro de mi mismo por algunos objetivos personales que pude cumplir,Positivo,85
03/07/2020 08:50:44 p. m.,Bastante tranquilo y con ganas de hacer muchas cosas y retomar actividades que había dejado a un lado,Positivo,101
03/07/2020 10:29:46 p. m.,Fue un día muy bueno contenta con mi trabajo y mi familia,Positivo,57
03/10/2019 08:00:38 p. m.,Mi familia no me aparecía,Negativo,25
03/10/2019 09:20:01 a. m.,"Dormi muy mal, con dolor de estomago, pero voy a jugar golf lo que me alegra",Negativo,76
03/10/2019 11:44:17 a. m.,Fjjdjdndjdj,-,11
03/11/2019 01:07:07 p. m.,Me siento un poco triste,Negativo,24
03/11/2019 08:06:51 a. m.,Jhjjjhh jjj. Jjj,-,16
03/11/2019 08:07:27 a. m.,Jjjjj,-,5
03/11/2019 08:09:11 a. m.,Khoikhoi,-,8
03/11/2019 08:09:54 a. m.,Kk kink,-,7
03/11/2019 08:49:28 p. m.,Estoy superando la pérdida de mi pareja,Ambivalente,39
03/12/2019 03:02:13 p. m.,Me siento muy bien en cada momento de mi vida con mi familia,Positivo,60
03/12/2019 03:04:36 p. m.,Ansiosa,Negativo,7
03/12/2019 05:46:43 p. m.,La gente no se responsabiliza de sus errorres y afecta mi desempeño en mi trabajo,Negativo,81
03/12/2019 06:54:07 p. m.,Regular,Ambivalente,7
03/12/2019 06:59:52 p. m.,Me siento muy bien,Positivo,18
03/12/2019 07:26:02 p. m.,"Me siento bien, hasta ahora todo sigue igual, en el buen sentido, me estoy esforzando para hacer las cosas bien.",Positivo,112
03/12/2019 10:09:06 a. m.,"Un poco estresado pero tranquilo, estamos terminando el cierre contable del me de noviembre",Ambivalente,91
03/12/2019 10:17:46 p. m.,"Estoy tranquila, en paz, el trabajo va saliendo, mi casa está ordenada y me hace sentir bien",Positivo,92
03/12/2019 10:34:01 p. m.,Dónde encuentro ese diario?,-,27
03/12/2019 10:34:27 p. m.,"Alegre, confiada, y emocionada",Positivo,30
03/12/2019 12:23:54 p. m.,Jdjdjdjdjdjdjdj,-,15
04/01/2020 11:26:21 a. m.,"Me siento de maravilla! Ayer estuve de viaje trabajando y apesar de que el vuelo se demoro y llegué en la madrugada me siento muy bien, tuve dos reuniones las cuales fueron muy productivas",Positivo,188
04/02/2020 06:07:21 p. m.,"Me siento bien, todo está yendo de maravillas, espero siga así",Positivo,62
04/02/2020 09:08:34 a. m.,Estoy feliz porque tengo una familia que me amaUn trabajo en el cual puedo desarrollarme y aprender mucho,Positivo,105
04/02/2020 09:14:00 p. m.,Muy cansada,Negativo,11
04/02/2020 09:46:07 p. m.,Todo bien.,Positivo,10
04/02/2020 10:08:22 p. m.,"Tranquila, pensando en el futuro y en cosas que quiero hacer y desiciones que hay que tomar",Positivo,91
04/02/2020 12:17:47 p. m.,Iniciando la semana por el asueto,Positivo,33
04/03/2020 03:50:05 p. m.,Pues tengo muchos pendientes del trabajo pero al fin pude comprar el anillo de compromiso para mi amada Paola,Ambivalente,109
04/03/2020 06:01:49 p. m.,"Cansada, pero feliz por que voy a casa, mañana tengo un reto de trabajo que voy a organizar para solucionarlo",Ambivalente,109
04/03/2020 06:52:26 p. m.,"Estoy probando nuevas opciones de desarrollo y una de ellas es OTA delivery of the app, esta será nuestra primer prueba!",Positivo,120
04/03/2020 09:07:59 a. m.,Estoy enferma desde hace tres días y con la presión de que ya es cierre de mes,Negativo,78
04/03/2020 11:59:32 a. m.,"Me siento muy deprimida, sin ganas de hacer nada, muy desmotivada, en mi trabajo no me siento a gusto porque siento que es mucho trabajo y poca paga. Aunque dormí bastantes horas no siento que descanse y me cuesta trabajo levantarme. Siento que en mi vida me falta todo, y no he logrado nada de lo que he querido.",Negativo,313
04/05/2020 01:20:42 p. m.,Me siento nervioso ansioso tenso preocupado distraido perdido,Negativo,61
04/05/2020 06:04:50 p. m.,Muchas gracias por compartir tus sentimientos conmigo. Eso es todo por hoy.|Hasta luego 👋,JENNY,90
04/06/2020 02:43:26 p. m.,"Bien, he podido asistir a reuniones interesantes y completar el trabajo que tenia asignado para la mañana",Positivo,105
04/06/2020 07:26:21 p. m.,"Enojada, cansada, con ansiedad, subiendo de peso, no dejo de comer",Negativo,66
04/06/2020 08:03:32 p. m.,"Si estás en una crisis emocional o simplemente quieres platicar con un especialista en salud mental, puedes comunicarte a este número telefónico en cualquier momento: [5547376090](tel://5547376090)",JENNY,197
04/07/2020 09:13:13 p. m.,"No es como si estuviera enferma pero se puede decir que mi mamá y yo ya no estamos peleando, ya nos hablamos más y eso me alegra aunque no se lo he demostrado mucho.",Ambivalente,165
04/07/2020 11:06:56 a. m.,Me siento en paz confiada de que todo lo que sucede y estar por suceder es para mi mejor bien.,Positivo,94
04/10/2019 02:09:21 p. m.,"Tengo muchos pendiente, que no he resuelto, tengo la meta de empezar a cumplirlos, pero me cuesta un poco empezarlos",Negativo,116
04/10/2019 05:13:25 p. m.,"Ya tuve mi aumento, estoy contenta.",Positivo,35
04/10/2019 06:56:00 p. m.,Emocionalmente me siento triste.,Negativo,32
04/10/2019 10:49:20 p. m.,Creo que la vida no es tan buena en estos momentos,Negativo,50
04/11/2019 08:00:08 p. m.,Cansado y con ánimo de solucionar las situaciones,Positivo,49
04/11/2019 09:00:57 a. m.,"Holaaaaaa 
Ayer fue mi cumpleaños, las personas q más quiero y me quieren estuvieron conmigo y eso me hace muy feliz, plena y llena de amor y esperanza.",Positivo,152
04/11/2019 09:03:09 a. m.,"Cansada, estresada",Negativo,18
04/11/2019 09:45:38 p. m.,"Me siento triste porque mi pareja decidió romper nuestro compromiso, me siento ansiosa y sin ganas de hacer mucho",Negativo,113
04/11/2019 10:25:45 a. m.,"Preparando Par el cierre de año, enfrantar nuevos retos y seguir adelante",Positivo,73
04/11/2019 10:49:35 p. m.,"Me siento contenta, pero cansada fue un día lleno de actividades, pero todo salió bien",Positivo,86
04/12/2019 01:01:39 p. m.,Hoy estoy muy feliz con lo tengo y lo que ago mi salud mi trabajo y mi familia,Positivo,78
04/12/2019 06:02:40 p. m.,Nos fue bien en la auditoría hoy. Mi novio recordó que me gusta mucho un restaurante y ahí vamos a cenar. Mi mamá ya tiene su INE y ya casi su INAPAM. Todo está saliendo muy bien :),Positivo,181
04/12/2019 07:11:02 p. m.,"Elige una opción:|FLUJO NUEVO DE LA NOM/Storyboard/Lanzar test/Explícame más/Flujos de mejora/PNG/Ejercicio ""Aquí y ahora""/FLUJOS NUEVOS/NOM 035/Mensaje con imagen/Mensajes continuos/Imagen Interna/Imagen de Diane/gif",JENNY,217
04/12/2019 08:49:55 p. m.,"Llevo dos meses llevando terapia y hay cosas que me negaba a ver, han pasado cosas con las que me doy cuenta de que todo es real todo lo que pasaba y todo lo que vivía aunque me negaba a ver muchas cosas y me culpaba de cosas que no eran mi responsabilidad, no tuve un referente de lo que me pasó por eso no supe accionar, hoy me siento con la fortaleza para poder enfrentar lo que venga",Positivo,387
04/12/2019 10:13:16 a. m.,Le he pedido a Dios me ayude y me de fortaleza para seguir adelante y mis compañero me han apoyado mucho,Ambivalente,104
04/12/2019 11:33:44 p. m.,"El día de hoy me siento triste y muy decepcionado de mi. Quizá por un descuido perdi mis llaves de la casa y por tal motivo se rompió la cerradura de mi cuarto, me desespere por que perdí mucho tiempo. Además otra cosa de lo que ocurrió que fui al cajero yo targeta se atoro en el cajero debido a que no funcionaba debido a unas fallas en el sistema. Aveces entiendo que no son días buenos pero el día de hoy siento que si ha sido un día menos interesante me ocurrieron varias cosas. Lo único bueno que salvó de todo esto es que le conté de mi vida personal a una chica que trabaja conmigo en el hotel y de este modo sentí que me sento bien hablar acerca de ello.",Negativo,663
04/12/2019 11:54:35 a. m.,Muy bien !! Mañana tenemos posada del club y el viernes la peregrinación de la empresa,Positivo,86
04/12/2019 12:00:37 p. m.,Comí un emparedado del tamaño de un armadillo. Estuvo delicioso.,Positivo,64
05/02/2020 03:44:56 p. m.,Siento coraje de esos que motivan a salir adelante y mejorar.,Negativo,61
05/02/2020 05:53:41 a. m.,Muy agradecido con la vida x todas las cosas que trae día con día,Positivo,65
05/02/2020 08:01:04 p. m.,Me urge llegar a mi casa,Negativo,24
05/02/2020 09:24:56 a. m.,Me siento bien tengo reportes mensuales,Ambivalente,39
05/02/2020 09:46:34 a. m.,Muy bien llegando de un día de descanso,Positivo,39
05/02/2020 10:16:52 a. m.,A darle...,Positivo,10
05/03/2020 07:07:33 p. m.,Me siento confundida,Negativo,20
05/03/2020 12:17:57 p. m.,"Muy Cansada, con malestares en mi espalda y cintura nose si por cuestiones de postura o por falta de ejercicio xq paso todo el tiempo sentada en el trabajo
Me cuesta mucho trabajo levantarme, de hecho sin ganas de ir a trabajar e incluso me ha llegado el pensamiento de renunciar pero no puedo hacerlo tengo varias deudas que pagar y si me salgo de trabajar no sabría como salir de ellas.
Me presionó demasiado por cocinar llegando o ntes de salir de casa pues mi esposo y yo llevamos comida, le tengo que dejar comida hecha a mi papá y mi hermano que también lleva comida ufff
Salgo ya tarde de la oficina a las 8pm en ocasiones 8.30 porque mi jefe deja su coche frente al mio y no puedo salir eso me molesta muchísimo, me altera y me pone de malas",Negativo,749
05/05/2020 06:50:54 a. m.,"Si estás en una crisis emocional o simplemente quieres platicar con un especialista en salud mental, puedes comunicarte a este número telefónico en cualquier momento: 5547376090",JENNY,177
05/05/2020 07:15:29 p. m.,"Bajón emocional repentino, no se exactamente porque, pero acaba de suceder",Negativo,74
05/06/2020 08:03:52 p. m.,"Siento que no controlo lo que como, me siento sola, sin sentido",Negativo,63
05/06/2020 09:37:47 a. m.,Muchas gracias por compartir tus sentimientos conmigo. Eso es todo por hoy.|Hasta luego 👋,JENNY,90
05/07/2020 03:39:49 a. m.,"Me siento muy ansiosa, dolor de cabeza y vuelcos no bonitos en el corazón.",Negativo,74
05/07/2020 09:45:11 p. m.,Descansado,Positivo,10
05/07/2020 10:01:34 p. m.,Preocupado,Negativo,10
05/11/2019 06:57:15 p. m.,Me siento tranquilo me falta tiempo para hacer lo que quiero me tengo que organizar más,Ambivalente,87
05/11/2019 06:58:43 p. m.,Me siento feliz organizando mi boda y trabajando.,Positivo,49
05/11/2019 07:16:14 p. m.,"Estoy agobiada porque ya es casi fin de año y aún no cumplo todas mis metas y además me preocupa la salud de mi familia, pero tengo optimismo porque aún tengo un mes para concluir algunas metas pendientes",Ambivalente,204
05/11/2019 08:00:31 p. m.,"Tranquilo. Hoy tuve mucho trabajo, pero también me di cuenta de muchos pendientes",Ambivalente,81
05/11/2019 09:01:19 a. m.,"Me siento tranquilo pero muy pensativo, lo que me lleva a estar un poco preocupado por la situación económica.",Ambivalente,110
05/11/2019 09:01:36 a. m.,Me siento. Frustrado e impotente ante lo que sucede en este país.,Negativo,65
05/11/2019 09:07:33 a. m.,"Me desperté muy pensativo, y con estrés, no se que hacer para sentirme un poco más relajado",Negativo,91
05/11/2019 09:48:31 a. m.,Me siento contento y con ganas de tener un buen día. Tengo pocas juntas hoy pero por lástima voy a perder un partido de fútbol de mi hijo que empieza a las 4:00,Ambivalente,160
05/11/2019 11:50:02 a. m.,"Estoy motivada y contenta por mi coche y preocupada por la deuda que esto implica pero confio en que tido va a estar bien, tengo el apoyo de la familia",Positivo,151
05/12/2019 05:03:56 p. m.,Muy contenta y muy motivada por los proyectos que traigo,Negativo,56
05/12/2019 06:01:08 p. m.,Esperanzado,Positivo,11
05/12/2019 06:19:33 a. m.,Buen día en general,Positivo,19
05/12/2019 06:27:14 p. m.,Me siento cansada pero animada.,Negativo,31
05/12/2019 08:00:38 p. m.,Bueno hoy fue un día con actividad. He sido muy asertivo en la toma de decisiones de mi departamento y cómo influye en los demás. La comunicación ha sido buena y me dispongo a estudiar. Más tarde conviviré con mi mamá para organizar lo de navidad. tengo mucha energía,Positivo,267
05/12/2019 08:11:30 p. m.,"El día de hoy me siento agradecida por las personas que se encuentran a mi alrededor son mi fuerza junto con Dios para seguir adelante y ser mejor persona, en mi trabajo me siento presionada pero con toda la capacidad de realizar todos los pendientes que se deben cumplir",Positivo,271
05/12/2019 08:39:15 a. m.,Me siento contenta y valorada en mi vida,Positivo,40
05/12/2019 09:56:40 p. m.,Todo bien,Positivo,9
05/12/2019 10:05:07 p. m.,"Me siento cansado 
Y frustrado por que subí de peso",Negativo,51
05/12/2019 10:53:58 p. m.,Dolor,Negativo,5
05/12/2019 10:58:35 a. m.,Jddjjdjdj,-,9
06/01/2020 01:47:57 p. m.,Que no me importa nada ya.,Negativo,26
06/01/2020 01:53:39 p. m.,Me gusta la emoción de los inicios.,Positivo,35
06/01/2020 06:05:11 p. m.,Satisfecha,Positivo,10
06/01/2020 08:30:54 p. m.,Me siento cansada,Negativo,17
06/02/2020 05:03:38 p. m.,Todo bien,Positivo,9
06/02/2020 12:24:54 p. m.,Me siento bien.,Positivo,15
06/05/2020 06:27:37 a. m.,"Es como un sentimiento de basio de falta algo, no encuentro la mormtivacion para hacer las cosas y eso me pone melancólico, pues antes no era así",Negativo,145
06/05/2020 12:03:42 a. m.,"Extraño las cosas que hacíamos juntos. Extraño lo que eso me hacía sentir, pensé que nunca terminaría, nunca pensé que no lo extrañarías, nunca pensé que preferirías a la miserable de tu madre la gorda ignorante y cerda",Negativo,219
06/06/2020 03:05:23 p. m.,"Hoy es un día tranquilo, solo estoy con Karina y mis perros descansando mirando televisión, por largos momentos me olvidó de todo. 

Por estos momentos no estoy preocupado. 

Me siento bien, me siento tranquilo.",Positivo,211
06/06/2020 08:11:49 p. m.,"Contento, motivado, sin sueño. Estable y creativo.",Positivo,50
06/06/2020 09:07:38 p. m.,"Me siento tranquila y he estado descansando despues de una semana con mucho trabajo. Eso si, tenia en mente hacer varias cosas de la casa y avanzar con algunos pendientes del trabajo y no lo he hecho. Por un lado tengo algo de culpabilidad, pero por otro siento que debia descansar y eso me quita algo de culpa",Ambivalente,310
06/06/2020 10:03:25 p. m.,Hice mi tarea hoy y me ayudo a sentirme relajada. Debo de trabajar mi estructura y rutina diaria,Positivo,96
06/06/2020 10:03:43 a. m.,"Me siento más tranquila desde que comencé a meditar a aceptar las cosas que no puedo cambiar y mejorar siempre mejorar por mi
Bien y por el de mi hijo nada más.",Positivo,160
06/06/2020 10:07:17 p. m.,"Me siento normal, me duele un poco la mandíbula, hoy cuidé a mi sobrina, y no soporto a los niños 😅",Ambivalente,100
06/06/2020 11:49:59 p. m.,"Hoy quedaron resueltos varios pendientes que tenía en mi casa, sin ayuda no hubiera podido lograrlos, acepté no hacerlo sola y dar instrucciones y confiar en que se iban a hacer bien las cosas. Le agradezco mucho a mi esposo su ayuda",Positivo,233
06/07/2020 06:19:46 p. m.,"Hoy estoy muy positiva me siento en armonía, con el trabajo, mi vida y mi salud",Positivo,79
06/07/2020 08:05:58 p. m.,Estoy tratando de no forzar mi cuerpo y mis emociones. Me estoy dejando ser .,Positivo,77
06/07/2020 08:23:26 p. m.,Buen día en el trabajo y en trámites,Positivo,36
06/07/2020 11:07:25 a. m.,Ansiedad,Negativo,8
06/07/2020 11:10:23 p. m.,Muy presionada en el trabajo no hay organización y eso me descontrola,Negativo,69
06/11/2019 04:32:14 p. m.,Estoy muy contento y motivado,Positivo,29
06/11/2019 05:40:14 p. m.,Jdjdhdhd,-,8
06/11/2019 08:32:50 a. m.,"Dormí muy bien, pero me costo levantarme en la mañana. A veces el solo pensar en ver a mi jefe, me preocupa.",Ambivalente,108
06/11/2019 09:06:52 a. m.,Felicidad,Positivo,9
06/11/2019 09:27:44 a. m.,Estoy frustrada y desmotivada.,Negativo,30
06/11/2019 09:59:48 a. m.,Un poco desmotivado,Negativo,19
06/11/2019 10:03:05 a. m.,Estoy un poco triste rompi con mi novio y la berdad es que cada dia lo extraño mas 😭 tengo camisas de el y me da mas nostalgia,Negativo,127
06/12/2019 06:53:17 p. m.,"Pues corte con mi novia, me siento muy triste y lamentablemente no se como sentirme mejor",Negativo,89
06/12/2019 07:34:41 a. m.,Regular,Ambivalente,7
06/12/2019 11:37:24 a. m.,"Hola estimada jenny el día de hoy me siento con muchas ganas de iniciar el día. Muchas energías y sobre todo feliz, ya es fin de semana y siento que los fines de semana mi cuerpo y mente se relaja después de varios días de trabajo. Hoy fui a visitar a mi hermana y sobrina, ese es otro de los motivos de los cuales me hace estar bien conmigo mismo y con los demás.
Por otra parte dejame contarte que conocí a una persona guapa que me llama la atención sin embargo en esa parte siento que soy poco tímido.",Positivo,504
07/01/2020 02:00:34 p. m.,Estoy feliz y entusiasmada,Positivo,26
